,age_group_id,location_name,location_id,modelable_entity_name,modelable_entity_id,mean,population,sex_id,year_id
1903,22,Cambodia,10,Diet high in red meat (g/day),2437,12.591942281882673,7853935.7595599415,3,2016
4186,22,Cambodia,10,Diet high in sodium (g/day),2438,2.704344319474257,3675074.6353980238,1,2016
4187,22,Cambodia,10,Diet high in sodium (g/day),2438,3.0489772609619816,4178861.1241619177,2,2016
2093,22,Cambodia,10,Diet high in sodium (g/day),2438,2.887713937634887,7853935.7595599415,3,2016
4566,22,Cambodia,10,Diet high in saturated fatty acids (% energy/day),2439,0.04657877983103482,3675074.6353980238,1,2016
4567,22,Cambodia,10,Diet high in saturated fatty acids (% energy/day),2439,0.04666455534729374,4178861.1241619177,2,2016
2283,22,Cambodia,10,Diet high in saturated fatty acids (% energy/day),2439,0.04662441860136255,7853935.7595599415,3,2016
4946,22,Cambodia,10,Diet high in sugar-sweetened beverages (g/day),2440,108.33935812661298,3675074.6353980238,1,2016
4947,22,Cambodia,10,Diet high in sugar-sweetened beverages (g/day),2440,75.30421127038802,4178861.1241619177,2,2016
2473,22,Cambodia,10,Diet high in sugar-sweetened beverages (g/day),2440,90.76227382713647,7853935.7595599415,3,2016
5326,22,Cambodia,10,Diet high in trans fatty acids (% energy/day),2441,0.0023299687501530967,3675074.6353980238,1,2016
5327,22,Cambodia,10,Diet high in trans fatty acids (% energy/day),2441,0.0028387616161948646,4178861.1241619177,2,2016
2663,22,Cambodia,10,Diet high in trans fatty acids (% energy/day),2441,0.0026006833056630334,7853935.7595599415,3,2016
5706,22,Cambodia,10,Diet low in vegetables (g/day),2442,75.8256817959578,3675074.6353980238,1,2016
5707,22,Cambodia,10,Diet low in vegetables (g/day),2442,70.39989143074106,4178861.1241619177,2,2016
2853,22,Cambodia,10,Diet low in vegetables (g/day),2442,72.93876940971148,7853935.7595599415,3,2016
8,22,Indonesia,11,Diet low in calcium (g/day),2427,0.20127403535776311,71673968.5532855,1,2016
9,22,Indonesia,11,Diet low in calcium (g/day),2427,0.17942413456665002,72028018.91290034,2,2016
4,22,Indonesia,11,Diet low in calcium (g/day),2427,0.19032216826686696,143701987.46618584,3,2016
388,22,Indonesia,11,Diet low in fiber (g/day),2428,9.490059053820584,71673968.5532855,1,2016
389,22,Indonesia,11,Diet low in fiber (g/day),2428,8.017562267165378,72028018.91290034,2,2016
194,22,Indonesia,11,Diet low in fiber (g/day),2428,8.751996705007606,143701987.46618584,3,2016
768,22,Indonesia,11,Diet low in seafood omega-3 fatty acids (g/day),2429,0.026927399829478962,71673968.5532855,1,2016
769,22,Indonesia,11,Diet low in seafood omega-3 fatty acids (g/day),2429,0.022888609046401647,72028018.91290034,2,2016
384,22,Indonesia,11,Diet low in seafood omega-3 fatty acids (g/day),2429,0.02490302908807086,143701987.46618584,3,2016
1148,22,Indonesia,11,Diet low in fruits (g/day),2430,90.79563236673381,71673968.5532855,1,2016
1149,22,Indonesia,11,Diet low in fruits (g/day),2430,103.3833580845115,72028018.91290034,2,2016
574,22,Indonesia,11,Diet low in fruits (g/day),2430,97.10500193118635,143701987.46618584,3,2016
1528,22,Indonesia,11,Diet low in whole grains (g/day),2431,17.098297853860508,71673968.5532855,1,2016
1529,22,Indonesia,11,Diet low in whole grains (g/day),2431,19.996946787239644,72028018.91290034,2,2016
764,22,Indonesia,11,Diet low in whole grains (g/day),2431,18.551193139977684,143701987.46618584,3,2016
1908,22,Indonesia,11,Diet low in legumes (g/day),2432,24.691748668875793,71673968.5532855,1,2016
1909,22,Indonesia,11,Diet low in legumes (g/day),2432,21.14783690540792,72028018.91290034,2,2016
954,22,Indonesia,11,Diet low in legumes (g/day),2432,22.915427074264734,143701987.46618584,3,2016
2288,22,Indonesia,11,Diet low in milk (g/day),2433,5.175757765826986,71673968.5532855,1,2016
2289,22,Indonesia,11,Diet low in milk (g/day),2433,4.860863856693632,72028018.91290034,2,2016
1144,22,Indonesia,11,Diet low in milk (g/day),2433,5.017922896299162,143701987.46618584,3,2016
2668,22,Indonesia,11,Diet low in nuts and seeds (g/day),2434,0.8403906327954772,71673968.5532855,1,2016
2669,22,Indonesia,11,Diet low in nuts and seeds (g/day),2434,0.8075790589642579,72028018.91290034,2,2016
1334,22,Indonesia,11,Diet low in nuts and seeds (g/day),2434,0.8239444255985642,143701987.46618584,3,2016
3048,22,Indonesia,11,Diet high in processed meat (g/day),2435,0.3663788388593137,71673968.5532855,1,2016
3049,22,Indonesia,11,Diet high in processed meat (g/day),2435,0.2787862443868318,72028018.91290034,2,2016
1524,22,Indonesia,11,Diet high in processed meat (g/day),2435,0.32247463709746593,143701987.46618584,3,2016
3428,22,Indonesia,11,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.02787098181526671,71673968.5532855,1,2016
3429,22,Indonesia,11,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.027011028597040326,72028018.91290034,2,2016
1714,22,Indonesia,11,Diet low in polyunsaturated fatty acids (% energy/day),2436,0.027439945837554887,143701987.46618584,3,2016
3808,22,Indonesia,11,Diet high in red meat (g/day),2437,9.547602096701587,71673968.5532855,1,2016
3809,22,Indonesia,11,Diet high in red meat (g/day),2437,6.12465007276475,72028018.91290034,2,2016
1904,22,Indonesia,11,Diet high in red meat (g/day),2437,7.8319093810661276,143701987.46618584,3,2016
4188,22,Indonesia,11,Diet high in sodium (g/day),2438,2.707917199399382,71673968.5532855,1,2016
4189,22,Indonesia,11,Diet high in sodium (g/day),2438,3.049804295438363,72028018.91290034,2,2016
2094,22,Indonesia,11,Diet high in sodium (g/day),2438,2.879281915043046,143701987.46618584,3,2016
4568,22,Indonesia,11,Diet high in saturated fatty acids (% energy/day),2439,0.08738776233572922,71673968.5532855,1,2016
4569,22,Indonesia,11,Diet high in saturated fatty acids (% energy/day),2439,0.087597562617252,72028018.91290034,2,2016
2284,22,Indonesia,11,Diet high in saturated fatty acids (% energy/day),2439,0.08749292092756157,143701987.46618584,3,2016
4948,22,Indonesia,11,Diet high in sugar-sweetened beverages (g/day),2440,101.38521071209713,71673968.5532855,1,2016
4949,22,Indonesia,11,Diet high in sugar-sweetened beverages (g/day),2440,72.76363397630836,72028018.91290034,2,2016
2474,22,Indonesia,11,Diet high in sugar-sweetened beverages (g/day),2440,87.03916368245864,143701987.46618584,3,2016
5328,22,Indonesia,11,Diet high in trans fatty acids (% energy/day),2441,0.0023312145245690213,71673968.5532855,1,2016
5329,22,Indonesia,11,Diet high in trans fatty acids (% energy/day),2441,0.002838192485688749,72028018.91290034,2,2016
2664,22,Indonesia,11,Diet high in trans fatty acids (% energy/day),2441,0.0025853280466979203,143701987.46618584,3,2016
5708,22,Indonesia,11,Diet low in vegetables (g/day),2442,96.86603191554693,71673968.5532855,1,2016
5709,22,Indonesia,11,Diet low in vegetables (g/day),2442,92.39123848775525,72028018.91290034,2,2016
2854,22,Indonesia,11,Diet low in vegetables (g/day),2442,94.62312274406352,143701987.46618584,3,2016
10,22,Laos,12,Diet low in calcium (g/day),2427,0.20761327331234056,1601171.1115989944,1,2016
11,22,Laos,12,Diet low in calcium (g/day),2427,0.1853151371448623,1616678.4354931698,2,2016
5,22,Laos,12,Diet low in calcium (g/day),2427,0.19641047611312773,3217849.547092164,3,2016
390,22,Laos,12,Diet low in fiber (g/day),2428,7.254513314391259,1601171.1115989944,1,2016
391,22,Laos,12,Diet low in fiber (g/day),2428,6.086066595365858,1616678.4354931698,2,2016
195,22,Laos,12,Diet low in fiber (g/day),2428,6.66747449047293,3217849.547092164,3,2016
