Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>2SD (obesity),Prevalence of BMI>2SD lower 95% uncertainty interval,Prevalence of BMI>2SD upper 95% uncertainty interval,Prevalence of BMI>1SD (overweight),Prevalence of BMI>1SD lower 95% uncertainty interval,Prevalence of BMI>1SD upper 95% uncertainty interval,Prevalence of 1SD<BMI<2SD,Prevalence of 1SD<BMI<2SD lower 95% uncertainty interval,Prevalence of 1SD<BMI<2SD upper 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD,Prevalence of minus1SD<BMI<1SD lower 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD upper 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD,Prevalence of minus2SD<BMI<minus1SD lower 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus1SD (underweight),Prevalence of BMI<minus1SD lower 95% uncertainty interval,Prevalence of BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus2SD (moderate & severe underweight),Prevalence of BMI<minus2SD lower 95% uncertainty interval,Prevalence of BMI<minus2SD upper 95% uncertainty interval
World,NA,Boys,1999,17.5524448065283,17.4321431691575,17.6725083709481,0.0308323480804247,0.0269536590793127,0.0348943130562174,0.0986468279094134,0.0914429801137146,0.106395083272044,0.0678144798289887,0.0612112661071806,0.0748288655087222,0.52814200716465,0.508295864785205,0.547690683080113,0.233151451739754,0.215650644113129,0.251342231380964,0.373211164925936,0.353970789928292,0.391946997991592,0.140059713186182,0.123890722076741,0.155882583334936
World,NA,Boys,2000,17.5945825589801,17.4790470656204,17.7118414626111,0.0326031372577447,0.0286902835108166,0.0366840461959537,0.102767668439034,0.0954640353617157,0.110538113159165,0.0701645311812897,0.0635273172068098,0.0771798488670346,0.526771249664274,0.507556508859701,0.545595877937922,0.231212458365914,0.214313650219092,0.248673643506347,0.370461081896692,0.352095743053323,0.388587430794004,0.139248623530777,0.123659195234213,0.154581309185961
World,NA,Boys,2001,17.638235803958,17.526619445571,17.7511648087126,0.0344784018312604,0.0305432365182036,0.0386412911034182,0.107066310396011,0.0998274234082615,0.114875968262397,0.0725879085647506,0.0659182377576957,0.0796709046722378,0.525230915209691,0.506453010049105,0.543277636247904,0.229232870421997,0.212951924600679,0.246205397141302,0.367702774394298,0.34983325814422,0.385121949378694,0.1384699039723,0.123355054360312,0.153457739399544
World,NA,Boys,2002,17.6835919356174,17.5739096561451,17.7934108359954,0.0364531615111287,0.0324109232374464,0.0406842563537372,0.111524937324643,0.104155289606043,0.119347013167557,0.0750717758135138,0.0683633413733009,0.082141556263481,0.523544330968548,0.505078949199571,0.541297663546561,0.227209903599625,0.21139298252793,0.24376048187403,0.36493073170681,0.34765548866641,0.382038274507057,0.137720828107185,0.122934295475598,0.152438251626345
World,NA,Boys,2003,17.730489087355,17.6235199302538,17.8357661784494,0.0385319408717925,0.0343938079208648,0.0428764396577739,0.116144764194236,0.108669565976428,0.124104781144734,0.077612823322444,0.0709063634143599,0.0847492473294146,0.521702842647384,0.503731207820475,0.539109555519556,0.225134184244168,0.209547394603577,0.241320747403547,0.362152393158379,0.345289305713442,0.379065311749727,0.137018208914211,0.122869976701911,0.151620951511507
World,NA,Boys,2004,17.7786125020993,17.6736243539261,17.8824392548389,0.040723949703483,0.0365475258900696,0.0451772494444962,0.120925809556298,0.113392141785923,0.129066431029163,0.0802018598528151,0.0734231263183779,0.087484567095225,0.519728654320412,0.50209512434085,0.536892522077916,0.223003228367916,0.207600252603572,0.239004231846733,0.35934553612329,0.342936734718693,0.376185560366738,0.136342307755374,0.122218200328549,0.150461450832298
World,NA,Boys,2005,17.8271247282638,17.724827326275,17.9284276607647,0.0430329312190037,0.038747888798087,0.047587901856492,0.125864242006149,0.118288739799043,0.134104515127009,0.0828313107871453,0.075985669685566,0.0903106661993318,0.517659611703441,0.500195020205884,0.534936279888266,0.220803618587743,0.205482858832591,0.236476101673044,0.35647614629041,0.340091951943249,0.373258016365602,0.135672527702667,0.121804583574134,0.149737915605797
World,NA,Boys,2006,17.8763117602802,17.7762713712643,17.9764770193475,0.0454661096909247,0.0410374006428302,0.0501754498881087,0.130959210837705,0.123167916720409,0.139485472410816,0.0854931011467805,0.0785609201537363,0.0930764936026353,0.515494671209812,0.498231832445642,0.532856244041049,0.21853472630614,0.203105344222021,0.234363175682825,0.353546117952483,0.337234594705732,0.370282754434347,0.135011391646343,0.121226468933448,0.149188075180697
World,NA,Boys,2007,17.926662105274,17.8293537043028,18.0262083472503,0.0480297834375655,0.0433078046541764,0.0529414246414325,0.136205497915916,0.128092224141212,0.145122659432192,0.08817571447835,0.0808740525880777,0.0959482400094111,0.513247553179889,0.495600218564506,0.530791054006952,0.216201923547658,0.200809274942122,0.232067552475591,0.350546948904195,0.334316499472281,0.367644880910398,0.134345025356538,0.120531250889579,0.148633636155259
World,NA,Boys,2008,17.9780530967799,17.8832002280061,18.074841867188,0.0507151305702308,0.0457870422750885,0.0559750806667586,0.141581835262484,0.133108014941557,0.150843637297772,0.0908667046922529,0.083320037625328,0.0989310907073391,0.510952071869906,0.492920483077881,0.528617965372141,0.213810545389366,0.198371262699252,0.230140290587865,0.34746609286761,0.331256049215204,0.364858489580448,0.133655547478244,0.119729946036993,0.148052521413315
