"year","indicator","disaggregation","disagg.value","component","rec","unit","year_range","value.unweighted","value","value.sum","total.pop","n","N","region"
"2010","adult_blood_pressure","gender","Female","H",,,"",0.233716851126984,"0.219754589801674",44.172484863,6859643.18,189,,"World"
"2011","adult_blood_pressure","gender","Male","H",,,"",0.27172530194709,"0.251849913788176",51.356082068,6943742.825,189,,"World"
"2011","adult_blood_pressure","gender","Female","H",,,"",0.231754996015873,"0.218377844808069",43.801694247,6943742.825,189,,"World"
"2012","adult_blood_pressure","gender","Male","H",,,"",0.269857174074074,"0.250520681133807",51.0030059,7028170.761,189,,"World"
"2012","adult_blood_pressure","gender","Female","H",,,"",0.229824766835979,"0.216999693115054",43.436880932,7028170.761,189,,"World"
"2013","adult_blood_pressure","gender","Female","H",,,"",0.227913615190476,"0.215618293420076",43.075673271,7112680.638,189,,"World"
"2013","adult_blood_pressure","gender","Male","H",,,"",0.268007126058201,"0.249176967483305",50.653346825,7112680.638,189,,"World"
"2014","adult_blood_pressure","gender","Male","H",,,"",0.266177960582011,"0.247830133904271",50.30763455,7196970.645,189,,"World"
"2014","adult_blood_pressure","gender","Female","H",,,"",0.226021380915344,"0.21422409147554",42.718040993,7196970.645,189,,"World"
"2015","adult_blood_pressure","gender","Female","H",,,"",0.224163251089947,"0.212829382107184",42.366854456,7280795.028,189,,"World"
"2015","adult_blood_pressure","gender","Male","H",,,"",0.264374741386243,"0.246476931166812",49.966826122,7280795.028,189,,"World"
"1999","adolescent_obesity","gender","Boys","G",,,"",0.0446401230511545,"0.0360253160103198",8.48162337971936,6024085.431,190,,"World"
"1999","adolescent_obesity","gender","Girls","G",,,"",0.0396454893762742,"0.0265940917084576",7.5326429814921,6024085.431,190,,"World"
"2000","adolescent_obesity","gender","Girls","G",,,"",0.0415215601870783,"0.0279342510557908",7.88909643554488,6101630.491,190,,"World"
"2000","adolescent_obesity","gender","Boys","G",,,"",0.0468143212624756,"0.0380242850787764",8.89472103987037,6101630.491,190,,"World"
"2001","adolescent_obesity","gender","Girls","G",,,"",0.043467337513627,"0.0293383706563522",8.25879412758913,6179474.034,190,,"World"
"2001","adolescent_obesity","gender","Boys","G",,,"",0.0490788410475194,"0.0401474760114836",9.32497979902869,6179474.034,190,,"World"
"2002","adolescent_obesity","gender","Girls","G",,,"",0.045479416567628,"0.0308052967011036",8.64108914784931,6257672.566,190,,"World"
"2002","adolescent_obesity","gender","Boys","G",,,"",0.0514317495438835,"0.0424001250878251",9.77203241333786,6257672.566,190,,"World"
"2003","adolescent_obesity","gender","Girls","G",,,"",0.0475558100991333,"0.0323431918175119",9.03560391883532,6336405.099,190,,"World"
"2003","adolescent_obesity","gender","Boys","G",,,"",0.0538722901028042,"0.044792995578988",10.2357351195328,6336405.099,190,,"World"
"2004","adolescent_obesity","gender","Girls","G",,,"",0.0496937313216103,"0.0339562636626886",9.44180895110595,6415834.743,190,,"World"
"2004","adolescent_obesity","gender","Boys","G",,,"",0.0564025665479061,"0.0473387127822074",10.7164876441022,6415834.743,190,,"World"
"2005","adolescent_obesity","gender","Girls","G",,,"",0.051890523810578,"0.0356513536634769",9.85919952400982,6496073.433,190,,"World"
"2005","adolescent_obesity","gender","Boys","G",,,"",0.0590209041860564,"0.0500399579441744",11.2139717953507,6496073.433,190,,"World"
"2006","adolescent_obesity","gender","Girls","G",,,"",0.0541392685403159,"0.0374350325753482",10.28646102266,6577192.123,190,,"World"
"2006","adolescent_obesity","gender","Boys","G",,,"",0.06172553616782,"0.0529010354150247",11.7278518718858,6577192.123,190,,"World"
"2007","adolescent_obesity","gender","Girls","G",,,"",0.05645687648784,"0.0393214511215404",10.7268065326896,6659180.068,190,,"World"
"2007","adolescent_obesity","gender","Boys","G",,,"",0.0645211308853812,"0.0559280382953747",12.2590148682224,6659180.068,190,,"World"
"2008","adolescent_obesity","gender","Boys","G",,,"",0.0674035468226992,"0.0591068028433292",12.8066738963129,6741945.152,190,,"World"
"2008","adolescent_obesity","gender","Girls","G",,,"",0.058835822811649,"0.041303409126052",11.1788063342133,6741945.152,190,,"World"
"2009","adolescent_obesity","gender","Boys","G",,,"",0.0703782118433483,"0.0624444236501451",13.3718602502362,6825334.037,190,,"World"
"2009","adolescent_obesity","gender","Girls","G",,,"",0.0612778620416454,"0.0433846937693507",11.6427937879126,6825334.037,190,,"World"
"2010","adolescent_obesity","gender","Boys","G",,,"",0.0734453147118152,"0.0659469977660757",13.9546097952449,6909196.035,190,,"World"
"2010","adolescent_obesity","gender","Girls","G",,,"",0.0637916706251292,"0.0455743969077231",12.1204174187745,6909196.035,190,,"World"
"2011","adolescent_obesity","gender","Girls","G",,,"",0.06638450293341,"0.0478759450618231",12.6130555573479,6993487.484,190,,"World"
"2011","adolescent_obesity","gender","Boys","G",,,"",0.0766118447559206,"0.069610641783453",14.5562505036249,6993487.484,190,,"World"
"2012","adolescent_obesity","gender","Boys","G",,,"",0.079881912260724,"0.0734309457275738",15.1775633295376,7078123.005,190,,"World"
"2012","adolescent_obesity","gender","Girls","G",,,"",0.0690609820252572,"0.0502966237752592",13.1215865847989,7078123.005,190,,"World"
"2013","adolescent_obesity","gender","Boys","G",,,"",0.0832671220989001,"0.0774087091407247",15.820753198791,7162849.88,190,,"World"
"2013","adolescent_obesity","gender","Girls","G",,,"",0.0718287460906431,"0.0528438414835593",13.6474617572222,7162849.88,190,,"World"
"2014","adolescent_obesity","gender","Boys","G",,,"",0.0867759369738864,"0.0815537418317398",16.4874280250384,7247356.205,190,,"World"
"2014","adolescent_obesity","gender","Girls","G",,,"",0.0746936584146511,"0.0555241721185386",14.1917950987837,7247356.205,190,,"World"
"2015","adolescent_obesity","gender","Boys","G",,,"",0.0904100186693135,"0.0858496151782092",17.1779035471696,7331388.69,190,,"World"
"2015","adolescent_obesity","gender","Girls","G",,,"",0.0776647974329738,"0.0583411490847953",14.756311512265,7331388.69,190,,"World"
"2016","adolescent_obesity","gender","Girls","G",,,"",0.0807459114999117,"0.0612928626709225",15.3417231849832,7414816.18,190,,"World"
"2016","adolescent_obesity","gender","Boys","G",,,"",0.0941749091928328,"0.0902829677376364",17.8932327466382,7414816.18,190,,"World"
"2002","GDP_capita_PPP","all",,"R",,,"",14626.5669330082,"10556.7809168834",2691288.3156735,6195667.59,184,,"World"
"2003","GDP_capita_PPP","all",,"R",,,"",14949.3465571701,"10820.9979105297",2750679.7665193,6273556.602,184,,"World"
"2004","GDP_capita_PPP","all",,"R",,,"",15554.9849258052,"11260.9827458874",2862117.22634816,6352087.182,184,,"World"
"2005","GDP_capita_PPP","all",,"R",,,"",15965.2952798065,"11649.0611176679",2937614.3314844,6431337.482,184,,"World"
"2006","GDP_capita_PPP","all",,"R",,,"",16579.3456228973,"12121.4106396133",3050599.59461311,6511343.843,184,,"World"
"2007","GDP_capita_PPP","all",,"R",,,"",17059.6939306761,"12620.911486903",3156043.37717507,6592139.582,185,,"World"
"2008","GDP_capita_PPP","all",,"R",,,"",17187.7042850974,"12825.3905042994",3179725.29274303,6673729.089,185,,"World"
"2009","GDP_capita_PPP","all",,"R",,,"",16461.1499913933,"12625.6405371911",3045312.74840776,6756128.952,185,,"World"
"2010","GDP_capita_PPP","all",,"R",,,"",16734.4019151483,"13125.4113772707",3095864.35430244,6839294.843,185,,"World"
"2011","GDP_capita_PPP","all",,"R",,,"",16795.157010794,"13493.9073197032",3140694.36101849,6934538.427,187,,"World"
"2012","GDP_capita_PPP","all",,"R",,,"",17113.0408864059,"13787.2337576089",3165912.56398509,7014027.927,185,,"World"
"2013","GDP_capita_PPP","all",,"R",,,"",17241.8893304471,"14083.7574591833",3189749.52613272,7099091.566,185,,"World"
"2014","GDP_capita_PPP","all",,"R",,,"",17437.3271001581,"14398.0399544451",3225905.51352925,7183910.056,185,,"World"
"2015","GDP_capita_PPP","all",,"R",,,"",17693.8851847871,"14705.2408673169",3255674.87400082,7236947.783,184,,"World"
"2016","GDP_capita_PPP","all",,"R",,,"",17887.5475011572,"15006.9047458149",3291308.74021292,7319944.624,184,,"World"
"2017","GDP_capita_PPP","all",,"R",,,"",18351.1990866845,"15470.0545340373",3339918.23377658,7361298.827,182,,"World"
"1999","GDP_capita_PPP","all",,"R",,,"",13520.6707068986,"9979.83119552416",2420200.05653485,5943768.549,179,,"World"
"2000","GDP_capita_PPP","all",,"R",,,"",14425.9507568291,"10326.6541767278",2625523.03774289,6021130.398,182,,"World"
"2001","GDP_capita_PPP","all",,"R",,,"",14513.1060623522,"10439.8381412608",2655898.40941045,6097349.155,183,,"World"
"1999","adult_overweight","gender","Female","H",,,"",0.416744251270724,"0.297529206213799",78.7646634901669,5977061.551,189,,"World"
"1999","adult_overweight","gender","Male","H",,,"",0.368882178755816,"0.273354794943098",69.7187317848493,5977061.551,189,,"World"
"2000","adult_overweight","gender","Male","H",,,"",0.374400395830766,"0.278164228014324",70.7616748120148,6054244.179,189,,"World"
"2000","adult_overweight","gender","Female","H",,,"",0.421936953622916,"0.302067405436173",79.7460842347311,6054244.179,189,,"World"
"2001","adult_overweight","gender","Male","H",,,"",0.379965805064142,"0.283085677080403",71.8135371571228,6131761.246,189,,"World"
"2001","adult_overweight","gender","Female","H",,,"",0.427160751936739,"0.306690381673507",80.7333821160437,6131761.246,189,,"World"
"2002","adult_overweight","gender","Male","H",,,"",0.385571080398669,"0.288116772913519",72.8729341953484,6209667.78,189,,"World"
"2002","adult_overweight","gender","Female","H",,,"",0.432413382633915,"0.311396774088185",81.72612931781,6209667.78,189,,"World"
"2003","adult_overweight","gender","Male","H",,,"",0.391222350128376,"0.293269343174226",73.9410241742631,6288140.073,189,,"World"
"2003","adult_overweight","gender","Female","H",,,"",0.437688432267796,"0.316192431312378",82.7231136986134,6288140.073,189,,"World"
"2004","adult_overweight","gender","Male","H",,,"",0.396912648186444,"0.298545798047369",75.0164905072379,6367336.66,189,,"World"
"2004","adult_overweight","gender","Female","H",,,"",0.442987667194734,"0.321094162552386",83.7246690998048,6367336.66,189,,"World"
"2005","adult_overweight","gender","Male","H",,,"",0.402633102900365,"0.303946758409876",76.0976564481689,6447364.936,189,,"World"
"2005","adult_overweight","gender","Female","H",,,"",0.448305355981755,"0.326104438556594",84.7297122805517,6447364.936,189,,"World"
"2006","adult_overweight","gender","Male","H",,,"",0.408382215321856,"0.309475847951269",77.1842386958308,6528296.278,189,,"World"
"2006","adult_overweight","gender","Female","H",,,"",0.453637219551504,"0.331218374924051",85.7374344952343,6528296.278,189,,"World"
"2007","adult_overweight","gender","Female","H",,,"",0.458977282676883,"0.336421142078204",86.746706425931,6610117.639,189,,"World"
"2007","adult_overweight","gender","Male","H",,,"",0.414159472664564,"0.315124389936339",78.2761403336025,6610117.639,189,,"World"
"2008","adult_overweight","gender","Female","H",,,"",0.464320742518853,"0.341695797064327",87.7566203360633,6692726.167,189,,"World"
"2008","adult_overweight","gender","Male","H",,,"",0.419960840050676,"0.320867094743179",79.3725987695778,6692726.167,189,,"World"
"2009","adult_overweight","gender","Female","H",,,"",0.469668617162938,"0.34702480680738",88.7673686437954,6775954.829,189,,"World"
"2009","adult_overweight","gender","Male","H",,,"",0.425784793729856,"0.326675940492243",80.4733260149428,6775954.829,189,,"World"
"2010","adult_overweight","gender","Female","H",,,"",0.475014703717235,"0.352386138440018",89.7777790025574,6859643.18,189,,"World"
"2010","adult_overweight","gender","Male","H",,,"",0.431630900452456,"0.332530375726815",81.5782401855142,6859643.18,189,,"World"
"2011","adult_overweight","gender","Male","H",,,"",0.437507052242817,"0.338417919693477",82.6888328738923,6943742.825,189,,"World"
"2011","adult_overweight","gender","Female","H",,,"",0.480368181743335,"0.357774186730398",90.7895863494904,6943742.825,189,,"World"
"2012","adult_overweight","gender","Female","H",,,"",0.48572430766692,"0.363186901275921",91.8018941490479,7028170.761,189,,"World"
"2012","adult_overweight","gender","Male","H",,,"",0.443413547803579,"0.344344250328013",83.8051605348765,7028170.761,189,,"World"
"2013","adult_overweight","gender","Female","H",,,"",0.491078611421002,"0.368619856893135",92.8138575585694,7112680.638,189,,"World"
"2013","adult_overweight","gender","Male","H",,,"",0.449349316639029,"0.350319234280118",84.9270208447765,7112680.638,189,,"World"
"2014","adult_overweight","gender","Female","H",,,"",0.496433683842119,"0.374080117652727",93.8259662461606,7196970.645,189,,"World"
"2014","adult_overweight","gender","Male","H",,,"",0.45532446358178,"0.356351603910788",86.0563236169565,7196970.645,189,,"World"
"2015","adult_overweight","gender","Female","H",,,"",0.501781341991327,"0.379561310655195",94.8366736363608,7280795.028,189,,"World"
"2015","adult_overweight","gender","Male","H",,,"",0.461342125566795,"0.362456638252117",87.1936617321242,7280795.028,189,,"World"
"2016","adult_overweight","gender","Female","H",,,"",0.507119677915718,"0.385051853352903",95.8456191260707,7364024.261,189,,"World"
"2016","adult_overweight","gender","Male","H",,,"",0.467398073208192,"0.368609774589298",88.3382358363482,7364024.261,189,,"World"
"1999","adolescent_overweight","gender","Boys","G",,,"",0.142088071794404,"0.112591647832437",26.9967336409367,6024085.431,190,,"World"
"1999","adolescent_overweight","gender","Girls","G",,,"",0.161531934462207,"0.108524940078004",30.6910675478193,6024085.431,190,,"World"
"2000","adolescent_overweight","gender","Boys","G",,,"",0.146708358042223,"0.117076624785529",27.8745880280224,6101630.491,190,,"World"
"2000","adolescent_overweight","gender","Girls","G",,,"",0.165904292384524,"0.111995239704063",31.5218155530596,6101630.491,190,,"World"
